,fare
687,0.0
500,45.0
332,9.25
979,17.85
817,10.25
620,44.85
814,7.85
516,30.65
518,5.25
940,50.0
113,19.75
612,33.05
37,13.65
894,7.45
895,8.65
992,14.85
158,3.25
154,8.95
40,7.95
585,8.05
805,9.95
592,9.45
964,8.05
266,18.45
406,7.0
294,15.25
604,8.0
522,8.65
18,35.0
425,12.65
527,10.0
308,47.65
622,7.65
794,12.45
62,6.05
79,28.85
680,6.15
193,9.65
750,7.05
181,10.05
535,15.65
484,33.25
200,6.85
364,7.85
991,8.25
462,12.75
356,8.25
2,20.05
478,12.05
695,11.45
253,39.05
667,9.05
85,7.45
969,8.85
75,10.05
786,44.05
658,10.45
465,7.85
920,7.25
38,15.65
944,7.45
725,5.85
436,12.25
140,5.05
818,16.05
602,9.25
745,12.05
471,39.85
342,8.05
416,42.25
711,10.65
557,13.65
50,40.05
162,38.25
765,5.05
856,5.15
867,20.15
524,7.05
443,23.45
172,5.25
956,6.05
330,19.45
352,13.65
857,36.45
766,10.05
39,14.65
852,5.85
875,6.05
156,32.55
222,6.85
641,4.05
210,6.45
746,37.85
960,10.45
700,5.85
167,35.65
998,7.85
984,8.25
491,9.85
10,17.65
105,74.17
68,22.05
479,13.85
399,18.65
434,8.85
258,37.25
827,28.35
884,65.85
304,8.65
811,7.25
938,30.65
924,5.85
526,23.45
20,37.25
905,11.25
380,40.0
420,14.45
285,6.25
71,10.0
49,8.05
179,9.45
506,42.85
929,6.25
116,35.45
293,6.05
76,41.45
48,6.05
503,28.85
263,44.05
808,10.75
863,17.05
748,8.45
64,5.65
798,18.05
52,11.25
440,8.05
124,25.0
650,8.45
409,51.85
752,6.65
952,27.45
477,40.25
118,4.45
12,46.75
157,31.65
337,14.85
127,41.45
46,6.25
235,7.85
538,6.65
241,9.85
590,6.05
358,18.85
959,18.05
848,28.85
792,8.65
325,9.65
899,6.05
809,7.65
350,5.25
363,7.65
17,27.85
186,6.65
402,8.05
338,15.25
206,42.45
963,5.45
345,6.35
313,5.45
242,40.25
913,15.05
170,7.25
187,8.65
934,26.0
133,13.65
301,23.05
731,9.65
670,49.95
318,8.25
78,9.85
521,5.65
346,13.45
198,9.05
865,16.65
548,12.45
915,8.65
588,39.45
447,53.05
21,10.85
724,14.85
718,6.05
250,9.25
243,8.45
571,24.85
35,6.25
81,28.05
159,6.45
333,7.45
837,9.45
474,12.25
671,30.05
109,9.65
661,7.65
379,6.85
625,7.05
603,32.65
92,7.25
451,12.45
652,10.25
822,39.45
855,7.85
390,11.25
577,7.05
985,27.25
422,4.25
211,14.05
171,35.25
165,8.05
238,12.65
188,8.85
685,10.45
803,40.0
344,6.25
741,21.25
453,10.45
646,37.05
830,8.05
155,6.65
487,30.65
597,5.65
988,10.85
125,9.25
66,11.05
908,4.85
511,15.25
224,6.05
268,20.45
161,38.25
813,46.0
618,38.65
676,22.65
178,29.45
950,9.65
415,4.45
100,90.0
733,7.85
689,32.05
229,3.25
334,10.85
627,5.25
702,43.85
