id,PV output,PeriodStart
96,0,2018-11-01T00
97,0,2018-11-01T01
98,0,2018-11-01T02
99,0,2018-11-01T03
100,0,2018-11-01T04
101,0,2018-11-01T05
102,0,2018-11-01T06
103,0,2018-11-01T07
104,17.77777778,2018-11-01T08
105,1224.077778,2018-11-01T09
106,3189.275,2018-11-01T10
107,3789.961111,2018-11-01T11
108,3816.338889,2018-11-01T12
109,3557.033333,2018-11-01T13
110,2848.983333,2018-11-01T14
111,1294.080556,2018-11-01T15
112,19.42222222,2018-11-01T16
113,0,2018-11-01T17
114,0,2018-11-01T18
115,0,2018-11-01T19
116,0,2018-11-01T20
117,0,2018-11-01T21
118,0,2018-11-01T22
119,0,2018-11-01T23
120,0,2018-11-02T00
121,0,2018-11-02T01
122,0,2018-11-02T02
123,0,2018-11-02T03
124,0,2018-11-02T04
125,0,2018-11-02T05
126,0,2018-11-02T06
127,0,2018-11-02T07
128,0,2018-11-02T08
129,524.0111111,2018-11-02T09
130,1242.597222,2018-11-02T10
131,1059.002778,2018-11-02T11
132,2090.963889,2018-11-02T12
133,2001.733333,2018-11-02T13
134,830.3509749,2018-11-02T14
135,60.45555556,2018-11-02T15
136,0.472222222,2018-11-02T16
137,0,2018-11-02T17
138,0,2018-11-02T18
139,0,2018-11-02T19
140,0,2018-11-02T20
141,0,2018-11-02T21
142,0,2018-11-02T22
143,0,2018-11-02T23
144,0,2018-11-03T00
145,0,2018-11-03T01
146,0,2018-11-03T02
147,0,2018-11-03T03
148,0,2018-11-03T04
149,0,2018-11-03T05
150,0,2018-11-03T06
151,0,2018-11-03T07
152,0,2018-11-03T08
153,1177.458333,2018-11-03T09
154,1656.261111,2018-11-03T10
155,1869.061111,2018-11-03T11
156,2563.622222,2018-11-03T12
157,2633.766667,2018-11-03T13
158,1628.630556,2018-11-03T14
159,489.125,2018-11-03T15
160,0,2018-11-03T16
161,0,2018-11-03T17
162,0,2018-11-03T18
163,0,2018-11-03T19
164,0,2018-11-03T20
165,0,2018-11-03T21
166,0,2018-11-03T22
167,0,2018-11-03T23
168,0,2018-11-04T00
169,0,2018-11-04T01
170,0,2018-11-04T02
171,0,2018-11-04T03
172,0,2018-11-04T04
173,0,2018-11-04T05
174,0,2018-11-04T06
175,0,2018-11-04T07
176,0,2018-11-04T08
177,327.0972222,2018-11-04T09
178,205.375,2018-11-04T10
179,1160.622222,2018-11-04T11
180,1054.488889,2018-11-04T12
181,1838.755556,2018-11-04T13
182,1088.433333,2018-11-04T14
183,711.4194444,2018-11-04T15
184,0,2018-11-04T16
185,0,2018-11-04T17
186,0,2018-11-04T18
187,0,2018-11-04T19
188,0,2018-11-04T20
189,0,2018-11-04T21
190,0,2018-11-04T22
191,0,2018-11-04T23
192,0,2018-11-05T00
193,0,2018-11-05T01
194,0,2018-11-05T02
195,0,2018-11-05T03
196,0,2018-11-05T04
197,0,2018-11-05T05
198,0,2018-11-05T06
199,0,2018-11-05T07
200,3.030555556,2018-11-05T08
201,673.1277778,2018-11-05T09
202,1402.013889,2018-11-05T10
203,1932.105556,2018-11-05T11
204,2051.025,2018-11-05T12
205,1748.966667,2018-11-05T13
206,1986.413889,2018-11-05T14
207,1351.447222,2018-11-05T15
208,173.8138889,2018-11-05T16
209,0,2018-11-05T17
210,0,2018-11-05T18
211,0,2018-11-05T19
212,0,2018-11-05T20
213,0,2018-11-05T21
214,0,2018-11-05T22
215,0,2018-11-05T23
216,0,2018-11-06T00
217,0,2018-11-06T01
218,0,2018-11-06T02
219,0,2018-11-06T03
220,0,2018-11-06T04
221,0,2018-11-06T05
222,0,2018-11-06T06
223,0,2018-11-06T07
224,0,2018-11-06T08
225,641.7666667,2018-11-06T09
226,1772.977778,2018-11-06T10
227,2567.508333,2018-11-06T11
228,3120.633333,2018-11-06T12
229,2338.333333,2018-11-06T13
230,2349.658333,2018-11-06T14
231,1192.252778,2018-11-06T15
232,0,2018-11-06T16
233,0,2018-11-06T17
234,0,2018-11-06T18
235,0,2018-11-06T19
236,0,2018-11-06T20
237,0,2018-11-06T21
238,0,2018-11-06T22
239,0,2018-11-06T23
240,0,2018-11-07T00
241,0,2018-11-07T01
242,0,2018-11-07T02
243,0,2018-11-07T03
244,0,2018-11-07T04
245,0,2018-11-07T05
246,0,2018-11-07T06
247,0,2018-11-07T07
248,0,2018-11-07T08
249,301.7388889,2018-11-07T09
250,1011.630556,2018-11-07T10:00:00Z
251,2155.966667,2018-11-07T11:00:00Z
252,3231.191667,2018-11-07T12:00:00Z
253,2557.380556,2018-11-07T13:00:00Z
254,1670.352778,2018-11-07T14:00:00Z
255,440.5277778,2018-11-07T15:00:00Z
256,0,2018-11-07T16:00:00Z
257,0,2018-11-07T17:00:00Z
258,0,2018-11-07T18:00:00Z
259,0,2018-11-07T19:00:00Z
260,0,2018-11-07T20:00:00Z
261,0,2018-11-07T21:00:00Z
262,0,2018-11-07T22:00:00Z
263,0,2018-11-07T23:00:00Z
264,0,2018-11-08T00:00:00Z
265,0,2018-11-08T01:00:00Z
266,0,2018-11-08T02:00:00Z
267,0,2018-11-08T03:00:00Z
268,0,2018-11-08T04:00:00Z
269,0,2018-11-08T05:00:00Z
270,0,2018-11-08T06:00:00Z
271,0,2018-11-08T07:00:00Z
272,393.1861111,2018-11-08T08:00:00Z
273,1744.394444,2018-11-08T09:00:00Z
274,1757.433333,2018-11-08T10:00:00Z
275,3180.211111,2018-11-08T11:00:00Z
276,2631.744444,2018-11-08T12:00:00Z
277,2470.011111,2018-11-08T13:00:00Z
278,1261.358333,2018-11-08T14:00:00Z
279,525.6194444,2018-11-08T15:00:00Z
280,0,2018-11-08T16:00:00Z
281,0,2018-11-08T17:00:00Z
282,0,2018-11-08T18:00:00Z
283,0,2018-11-08T19:00:00Z
284,0,2018-11-08T20:00:00Z
285,0,2018-11-08T21:00:00Z
286,0,2018-11-08T22:00:00Z
287,0,2018-11-08T23:00:00Z
288,0,2018-11-09T00:00:00Z
289,0,2018-11-09T01:00:00Z
290,0,2018-11-09T02:00:00Z
291,0,2018-11-09T03:00:00Z
292,0,2018-11-09T04:00:00Z
293,0,2018-11-09T05:00:00Z
294,0,2018-11-09T06:00:00Z
295,0,2018-11-09T07:00:00Z
296,0,2018-11-09T08:00:00Z
297,55.54166667,2018-11-09T09:00:00Z
298,584.6027778,2018-11-09T10:00:00Z
299,995.9777778,2018-11-09T11:00:00Z
300,1249.305556,2018-11-09T12:00:00Z
301,1033.794444,2018-11-09T13:00:00Z
302,506.8583333,2018-11-09T14:00:00Z
303,0,2018-11-09T15:00:00Z
304,0,2018-11-09T16:00:00Z
305,0,2018-11-09T17:00:00Z
306,0,2018-11-09T18:00:00Z
307,0,2018-11-09T19:00:00Z
308,0,2018-11-09T20:00:00Z
309,0,2018-11-09T21:00:00Z
310,0,2018-11-09T22:00:00Z
311,0,2018-11-09T23:00:00Z
312,0,2018-11-10T00:00:00Z
313,0,2018-11-10T01:00:00Z
314,0,2018-11-10T02:00:00Z
315,0,2018-11-10T03:00:00Z
316,0,2018-11-10T04:00:00Z
317,0,2018-11-10T05:00:00Z
318,0,2018-11-10T06:00:00Z
319,0,2018-11-10T07:00:00Z
320,79.9,2018-11-10T08:00:00Z
321,122.9333333,2018-11-10T09:00:00Z
322,652.0027855,2018-11-10T10:00:00Z
323,888.0277778,2018-11-10T11:00:00Z
324,911.9194444,2018-11-10T12:00:00Z
325,697.7251462,2018-11-10T13:00:00Z
326,433.9121212,2018-11-10T14:00:00Z
327,16.34722222,2018-11-10T15:00:00Z
328,0,2018-11-10T16:00:00Z
329,0,2018-11-10T17:00:00Z
330,0,2018-11-10T18:00:00Z
331,0,2018-11-10T19:00:00Z
332,0,2018-11-10T20:00:00Z
333,0,2018-11-10T21:00:00Z
334,0,2018-11-10T22:00:00Z
335,0,2018-11-10T23:00:00Z
336,0,2018-11-11T00:00:00Z
337,0,2018-11-11T01:00:00Z
338,0,2018-11-11T02:00:00Z
339,0,2018-11-11T03:00:00Z
340,0,2018-11-11T04:00:00Z
341,0,2018-11-11T05:00:00Z
342,0,2018-11-11T06:00:00Z
343,0,2018-11-11T07:00:00Z
344,102.3305556,2018-11-11T08:00:00Z
345,593.3527778,2018-11-11T09:00:00Z
346,1033.827778,2018-11-11T10:00:00Z
347,938.3944444,2018-11-11T11:00:00Z
348,1691.666667,2018-11-11T12:00:00Z
349,1378.497222,2018-11-11T13:00:00Z
350,1490.347222,2018-11-11T14:00:00Z
351,1050.522222,2018-11-11T15:00:00Z
352,33.73333333,2018-11-11T16:00:00Z
353,0,2018-11-11T17:00:00Z
354,0,2018-11-11T18:00:00Z
355,0,2018-11-11T19:00:00Z
356,0,2018-11-11T20:00:00Z
357,0,2018-11-11T21:00:00Z
358,0,2018-11-11T22:00:00Z
359,0,2018-11-11T23:00:00Z
360,0,2018-11-12T00:00:00Z
361,0,2018-11-12T01:00:00Z
362,0,2018-11-12T02:00:00Z
363,0,2018-11-12T03:00:00Z
364,0,2018-11-12T04:00:00Z
365,0,2018-11-12T05:00:00Z
366,0,2018-11-12T06:00:00Z
367,0,2018-11-12T07:00:00Z
368,0,2018-11-12T08:00:00Z
369,327.5555556,2018-11-12T09:00:00Z
370,480.3027778,2018-11-12T10:00:00Z
371,1132.638889,2018-11-12T11:00:00Z
372,2717.388889,2018-11-12T12:00:00Z
373,3382.227778,2018-11-12T13:00:00Z
374,2092.075,2018-11-12T14:00:00Z
375,1049.416667,2018-11-12T15:00:00Z
376,0,2018-11-12T16:00:00Z
377,0,2018-11-12T17:00:00Z
378,0,2018-11-12T18:00:00Z
379,0,2018-11-12T19:00:00Z
380,0,2018-11-12T20:00:00Z
381,0,2018-11-12T21:00:00Z
382,0,2018-11-12T22:00:00Z
383,0,2018-11-12T23:00:00Z
384,0,2018-11-13T00:00:00Z
385,0,2018-11-13T01:00:00Z
386,0,2018-11-13T02:00:00Z
387,0,2018-11-13T03:00:00Z
388,0,2018-11-13T04:00:00Z
389,0,2018-11-13T05:00:00Z
390,0,2018-11-13T06:00:00Z
391,0,2018-11-13T07:00:00Z
392,0.438888889,2018-11-13T08:00:00Z
393,196.1416667,2018-11-13T09:00:00Z
394,420.225,2018-11-13T10:00:00Z
395,1123.183333,2018-11-13T11:00:00Z
396,1059.761111,2018-11-13T12:00:00Z
397,762.7611111,2018-11-13T13:00:00Z
398,324.7924528,2018-11-13T14:00:00Z
399,48.20277778,2018-11-13T15:00:00Z
400,0,2018-11-13T16:00:00Z
401,0,2018-11-13T17:00:00Z
402,0,2018-11-13T18:00:00Z
403,0,2018-11-13T19:00:00Z
404,0,2018-11-13T20:00:00Z
405,0,2018-11-13T21:00:00Z
406,0,2018-11-13T22:00:00Z
407,0,2018-11-13T23:00:00Z
408,0,2018-11-14T00:00:00Z
409,0,2018-11-14T01:00:00Z
410,0,2018-11-14T02:00:00Z
411,0,2018-11-14T03:00:00Z
412,0,2018-11-14T04:00:00Z
413,0,2018-11-14T05:00:00Z
414,0,2018-11-14T06:00:00Z
415,0,2018-11-14T07:00:00Z
416,0,2018-11-14T08:00:00Z
417,143.0027778,2018-11-14T09:00:00Z
418,768.725,2018-11-14T10:00:00Z
419,1693.136111,2018-11-14T11:00:00Z
420,1922.127778,2018-11-14T12:00:00Z
421,1079.877778,2018-11-14T13:00:00Z
422,720.0388889,2018-11-14T14:00:00Z
423,34.12777778,2018-11-14T15:00:00Z
424,0,2018-11-14T16:00:00Z
425,0,2018-11-14T17:00:00Z
426,0,2018-11-14T18:00:00Z
427,0,2018-11-14T19:00:00Z
428,0,2018-11-14T20:00:00Z
429,0,2018-11-14T21:00:00Z
430,0,2018-11-14T22:00:00Z
431,0,2018-11-14T23:00:00Z
432,0,2018-11-15T00:00:00Z
433,0,2018-11-15T01:00:00Z
434,0,2018-11-15T02:00:00Z
435,0,2018-11-15T03:00:00Z
436,0,2018-11-15T04:00:00Z
437,0,2018-11-15T05:00:00Z
438,0,2018-11-15T06:00:00Z
439,0,2018-11-15T07:00:00Z
440,0,2018-11-15T08:00:00Z
441,0,2018-11-15T09:00:00Z
442,409.173913,2018-11-15T10:00:00Z
