Bucket Owner,Bucket,Time,Time - Offset,Remote IP,Requester ARN/Canonical ID,Request ID,Operation,Key,Request-URI,HTTP status,Error Code,Bytes Sent,Object Size,Total Time,Turn-Around Time,Referrer,User-Agent,Version Id,Host Id,Signature Version,Cipher Suite,Authentication Type,Host Header,TLS version
2f0544e0e64958de8c656135fcdbad1af1b43808c0d0b974fc77f171694c558e,ez-living,[01/Jun/2020:20:43:49,+0000],173.252.83.118,-,254D6842BECF6793,REST.GET.OBJECT,Kendal/EZLivingInteriors_-_KendalArmchairGrey.usdz,GET /ez-living/Kendal/EZLivingInteriors_-_KendalArmchairGrey.usdz HTTP/1.1,200,-,7786485,7786485,425,73,-,facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php),-,tdwn+G5Z9tPXl+BaxFUFEChxKq8ljNsT3bM08Vv30v7fD/YXZS4IO5n8kDZ1zJ+NbY/DVWOZGKE=,-,ECDHE-RSA-AES128-GCM-SHA256,-,s3-eu-west-1.amazonaws.com,TLSv1.2
2f0544e0e64958de8c656135fcdbad1af1b43808c0d0b974fc77f171694c558e,ez-living,[01/Jun/2020:16:05:47,+0000],39.103.142.195,-,55724083D164E10A,REST.HEAD.OBJECT,webadmin/login.php,HEAD /webadmin/login.php HTTP/1.1,403,AccessDenied,243,-,58,-,-,-,-,zmuYv7CRlJO59lIXqAeeQS1LW2cDhUg6bkCgCVA4kMiiF+IVlg4zH7/DjuD/vi+U6KUTM84vZHg=,-,-,-,ez-living.s3-eu-west-1.amazonaws.com,-
2f0544e0e64958de8c656135fcdbad1af1b43808c0d0b974fc77f171694c558e,ez-living,[01/Jun/2020:10:29:33,+0000],54.164.181.5,arn:aws:sts::878630915641:assumed-role/S3statLogReaders/S3statLogDownload,74588EA41C0FAC61,REST.GET.BUCKET,-,GET /?max-keys=1 HTTP/1.1,200,-,429,-,27,27,-,aws-sdk-dotnet-35/2.3.23.0 .NET Runtime/4.0 .NET Framework/4.0 OS/6.2.9200.0 ClientSync,-,eD7W8vIwNTfy7tAr10mDV5J13PcEwgFs1JNxdkm50Ydciq/YnuDennvSDMsPJN56dbVOWqxFOmc=,SigV4,ECDHE-RSA-AES128-SHA,AuthHeader,ez-living.s3-eu-west-1.amazonaws.com,TLSv1
2f0544e0e64958de8c656135fcdbad1af1b43808c0d0b974fc77f171694c558e,ez-living,[01/Jun/2020:10:50:30,+0000],54.175.118.73,-,ED2D7D25BB46EC40,REST.GET.LOCATION,-,GET /?location HTTP/1.1,400,AuthorizationHeaderMalformed,365,-,2,-,-,aws-sdk-dotnet-35/2.3.23.0 .NET Runtime/4.0 .NET Framework/4.0 OS/6.2.9200.0 ClientSync,-,2wagzKA2nNpdVDzRhnvDlxL94G+m1vG0ExpxbCR1X78/JqnhNtvIOiUP4r8mh356Q1IA3G6sLA0=,SigV4,ECDHE-RSA-AES128-SHA,AuthHeader,ez-living.s3.amazonaws.com,TLSv1
2f0544e0e64958de8c656135fcdbad1af1b43808c0d0b974fc77f171694c558e,ez-living,[01/Jun/2020:21:33:25,+0000],151.226.17.153,-,C6FB7E32B0BA818D,REST.GET.OBJECT,Brinley/EZLivingInteriors-Brinley_15L_25RCharcoal.usdz,GET /ez-living/Brinley/EZLivingInteriors-Brinley_15L_25RCharcoal.usdz HTTP/1.1,200,-,3268693,3268693,99,84,https://www.ezlivinginteriors.co.uk/,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Mobile/15E148 Safari/604.1",-,puNPAZATiOPhreidS3GyVo4L5Oi2jJzCR3zUbA/gK6Cfa2MGp0cGhnQ1TzrzRo46FXdAkaZA8+M=,-,ECDHE-RSA-AES128-GCM-SHA256,-,s3-eu-west-1.amazonaws.com,TLSv1.2
2f0544e0e64958de8c656135fcdbad1af1b43808c0d0b974fc77f171694c558e,ez-living,[01/Jun/2020:20:43:45,+0000],173.252.83.17,-,635C35D8F276FACD,REST.GET.OBJECT,Waldorf/EZLivingInteriors-Waldorf3Seater.usdz,GET /ez-living/Waldorf/EZLivingInteriors-Waldorf3Seater.usdz HTTP/1.1,206,-,524288,7342582,94,90,-,facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php),-,9usF3MfkBOYiiflZcEYaD+oQh1/ofVcxkouZ8WiYu49l3LvJcwVMj3ckx8ZLeZ/ntmaIuJzi2xw=,-,ECDHE-RSA-AES128-GCM-SHA256,-,s3-eu-west-1.amazonaws.com,TLSv1.2
2f0544e0e64958de8c656135fcdbad1af1b43808c0d0b974fc77f171694c558e,ez-living,[01/Jun/2020:10:50:32,+0000],54.175.118.73,-,E6EEB0A372365B11,REST.GET.BUCKET,-,GET /?max-keys=1 HTTP/1.1,301,PermanentRedirect,455,-,3,-,-,aws-sdk-dotnet-35/2.3.23.0 .NET Runtime/4.0 .NET Framework/4.0 OS/6.2.9200.0 ClientSync,-,FnVoV3x/HKVM3ymeQ7nyEHw8fIGxUDLee4Vd4eUJZKtJuyV6vaDPEKmxb8RSzZvunJArIg9sH2I=,-,ECDHE-RSA-AES128-SHA,-,ez-living.s3-us-west-2.amazonaws.com,TLSv1
2f0544e0e64958de8c656135fcdbad1af1b43808c0d0b974fc77f171694c558e,ez-living,[01/Jun/2020:21:03:16,+0000],151.226.17.153,-,F4FA985EE0B2F439,REST.GET.OBJECT,Brinley/EZLivingInteriorsBrinley_25L_15RCharcoal.usdz,GET /ez-living/Brinley/EZLivingInteriorsBrinley_25L_15RCharcoal.usdz HTTP/1.1,200,-,3264733,3264733,339,144,https://www.ezlivinginteriors.co.uk/,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Mobile/15E148 Safari/604.1",-,Pm0xEoIli914PpEK/4HGyPqqGIXdRCKFNh+JuxuKRMkOOkZ/qCZHyfqSokcUb6BpsdD2UUwqBys=,-,ECDHE-RSA-AES128-GCM-SHA256,-,s3-eu-west-1.amazonaws.com,TLSv1.2
2f0544e0e64958de8c656135fcdbad1af1b43808c0d0b974fc77f171694c558e,ez-living,[01/Jun/2020:21:59:31,+0000],46.7.144.159,-,5CA2AF69339F068D,REST.GET.OBJECT,Charm/EZLivingInteriors-Charm2Seater.usdz,GET /ez-living/Charm/EZLivingInteriors-Charm2Seater.usdz HTTP/1.1,200,-,17285148,17285148,410,85,https://www.ezliving-interiors.ie/,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Mobile/15E148 Safari/604.1",-,kc2eHWAwa73/2irLdYaYZJc4549nLLOPZHHifYribkLQhX1wotx/3pPZlOtdS35mAxd5uGRP5Is=,-,ECDHE-RSA-AES128-GCM-SHA256,-,s3-eu-west-1.amazonaws.com,TLSv1.2
2f0544e0e64958de8c656135fcdbad1af1b43808c0d0b974fc77f171694c558e,ez-living,[01/Jun/2020:12:17:06,+0000],213.233.147.149,-,0BE3CFB682D1801D,REST.GET.OBJECT,Harris/HarrisTurquoise.usdz,GET /ez-living/Harris/HarrisTurquoise.usdz HTTP/1.1,200,-,1881089,1881089,87,83,https://www.ezliving-interiors.ie/,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Mobile/15E148 Safari/604.1",-,nXOsGExZV+lrDLao20evQx2MFhtt0PqK6m9ozdjC9zOUggKyyjadqXUqjYkAZOoxfF4oMxiQZzo=,-,ECDHE-RSA-AES128-GCM-SHA256,-,s3.eu-west-1.amazonaws.com,TLSv1.2
