1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,y
0,0,0,0,0,0,0,0,567.4138889,1729.738889,3404.872222,2901.155989,0,369.1055556,0,0,0,0,0,0,0,0,0,2570.575,851.3333333
0,0,0,0,0,0,0,567.4138889,1729.738889,3404.872222,2901.155989,0,369.1055556,0,0,0,0,0,0,0,0,0,2570.575,851.3333333,16.70555556
0,0,0,0,0,0,567.4138889,1729.738889,3404.872222,2901.155989,0,369.1055556,0,0,0,0,0,0,0,0,0,2570.575,851.3333333,16.70555556,0
0,0,0,0,0,567.4138889,1729.738889,3404.872222,2901.155989,0,369.1055556,0,0,0,0,0,0,0,0,0,2570.575,851.3333333,16.70555556,0,0
0,0,0,0,567.4138889,1729.738889,3404.872222,2901.155989,0,369.1055556,0,0,0,0,0,0,0,0,0,2570.575,851.3333333,16.70555556,0,0,0
0,0,0,567.4138889,1729.738889,3404.872222,2901.155989,0,369.1055556,0,0,0,0,0,0,0,0,0,2570.575,851.3333333,16.70555556,0,0,0,0
0,0,567.4138889,1729.738889,3404.872222,2901.155989,0,369.1055556,0,0,0,0,0,0,0,0,0,2570.575,851.3333333,16.70555556,0,0,0,0,0
0,567.4138889,1729.738889,3404.872222,2901.155989,0,369.1055556,0,0,0,0,0,0,0,0,0,2570.575,851.3333333,16.70555556,0,0,0,0,0,0
567.4138889,1729.738889,3404.872222,2901.155989,0,369.1055556,0,0,0,0,0,0,0,0,0,2570.575,851.3333333,16.70555556,0,0,0,0,0,0,0
1729.738889,3404.872222,2901.155989,0,369.1055556,0,0,0,0,0,0,0,0,0,2570.575,851.3333333,16.70555556,0,0,0,0,0,0,0,1784.2
3404.872222,2901.155989,0,369.1055556,0,0,0,0,0,0,0,0,0,2570.575,851.3333333,16.70555556,0,0,0,0,0,0,0,1784.2,0
2901.155989,0,369.1055556,0,0,0,0,0,0,0,0,0,2570.575,851.3333333,16.70555556,0,0,0,0,0,0,0,1784.2,0,2926.988889
0,369.1055556,0,0,0,0,0,0,0,0,0,2570.575,851.3333333,16.70555556,0,0,0,0,0,0,0,1784.2,0,2926.988889,0
369.1055556,0,0,0,0,0,0,0,0,0,2570.575,851.3333333,16.70555556,0,0,0,0,0,0,0,1784.2,0,2926.988889,0,900.3833333
0,0,0,0,0,0,0,0,0,2570.575,851.3333333,16.70555556,0,0,0,0,0,0,0,1784.2,0,2926.988889,0,900.3833333,2824.108333
0,0,0,0,0,0,0,0,2570.575,851.3333333,16.70555556,0,0,0,0,0,0,0,1784.2,0,2926.988889,0,900.3833333,2824.108333,0
0,0,0,0,0,0,0,2570.575,851.3333333,16.70555556,0,0,0,0,0,0,0,1784.2,0,2926.988889,0,900.3833333,2824.108333,0,0
0,0,0,0,0,0,2570.575,851.3333333,16.70555556,0,0,0,0,0,0,0,1784.2,0,2926.988889,0,900.3833333,2824.108333,0,0,0
0,0,0,0,0,2570.575,851.3333333,16.70555556,0,0,0,0,0,0,0,1784.2,0,2926.988889,0,900.3833333,2824.108333,0,0,0,0
0,0,0,0,2570.575,851.3333333,16.70555556,0,0,0,0,0,0,0,1784.2,0,2926.988889,0,900.3833333,2824.108333,0,0,0,0,0
0,0,0,2570.575,851.3333333,16.70555556,0,0,0,0,0,0,0,1784.2,0,2926.988889,0,900.3833333,2824.108333,0,0,0,0,0,0
0,0,2570.575,851.3333333,16.70555556,0,0,0,0,0,0,0,1784.2,0,2926.988889,0,900.3833333,2824.108333,0,0,0,0,0,0,0.425
0,2570.575,851.3333333,16.70555556,0,0,0,0,0,0,0,1784.2,0,2926.988889,0,900.3833333,2824.108333,0,0,0,0,0,0,0.425,472.9194444
2570.575,851.3333333,16.70555556,0,0,0,0,0,0,0,1784.2,0,2926.988889,0,900.3833333,2824.108333,0,0,0,0,0,0,0.425,472.9194444,950.875
851.3333333,16.70555556,0,0,0,0,0,0,0,1784.2,0,2926.988889,0,900.3833333,2824.108333,0,0,0,0,0,0,0.425,472.9194444,950.875,0
16.70555556,0,0,0,0,0,0,0,1784.2,0,2926.988889,0,900.3833333,2824.108333,0,0,0,0,0,0,0.425,472.9194444,950.875,0,0
0,0,0,0,0,0,0,1784.2,0,2926.988889,0,900.3833333,2824.108333,0,0,0,0,0,0,0.425,472.9194444,950.875,0,0,0
0,0,0,0,0,0,1784.2,0,2926.988889,0,900.3833333,2824.108333,0,0,0,0,0,0,0.425,472.9194444,950.875,0,0,0,0
0,0,0,0,0,1784.2,0,2926.988889,0,900.3833333,2824.108333,0,0,0,0,0,0,0.425,472.9194444,950.875,0,0,0,0,0
0,0,0,0,1784.2,0,2926.988889,0,900.3833333,2824.108333,0,0,0,0,0,0,0.425,472.9194444,950.875,0,0,0,0,0,0
0,0,0,1784.2,0,2926.988889,0,900.3833333,2824.108333,0,0,0,0,0,0,0.425,472.9194444,950.875,0,0,0,0,0,0,328.4194444
0,0,1784.2,0,2926.988889,0,900.3833333,2824.108333,0,0,0,0,0,0,0.425,472.9194444,950.875,0,0,0,0,0,0,328.4194444,1824.994444
0,1784.2,0,2926.988889,0,900.3833333,2824.108333,0,0,0,0,0,0,0.425,472.9194444,950.875,0,0,0,0,0,0,328.4194444,1824.994444,1284.366667
1784.2,0,2926.988889,0,900.3833333,2824.108333,0,0,0,0,0,0,0.425,472.9194444,950.875,0,0,0,0,0,0,328.4194444,1824.994444,1284.366667,1642.25
0,2926.988889,0,900.3833333,2824.108333,0,0,0,0,0,0,0.425,472.9194444,950.875,0,0,0,0,0,0,328.4194444,1824.994444,1284.366667,1642.25,1854.011111
2926.988889,0,900.3833333,2824.108333,0,0,0,0,0,0,0.425,472.9194444,950.875,0,0,0,0,0,0,328.4194444,1824.994444,1284.366667,1642.25,1854.011111,0
0,900.3833333,2824.108333,0,0,0,0,0,0,0.425,472.9194444,950.875,0,0,0,0,0,0,328.4194444,1824.994444,1284.366667,1642.25,1854.011111,0,794.8222222
900.3833333,2824.108333,0,0,0,0,0,0,0.425,472.9194444,950.875,0,0,0,0,0,0,328.4194444,1824.994444,1284.366667,1642.25,1854.011111,0,794.8222222,0
2824.108333,0,0,0,0,0,0,0.425,472.9194444,950.875,0,0,0,0,0,0,328.4194444,1824.994444,1284.366667,1642.25,1854.011111,0,794.8222222,0,0
0,0,0,0,0,0,0.425,472.9194444,950.875,0,0,0,0,0,0,328.4194444,1824.994444,1284.366667,1642.25,1854.011111,0,794.8222222,0,0,0
0,0,0,0,0,0.425,472.9194444,950.875,0,0,0,0,0,0,328.4194444,1824.994444,1284.366667,1642.25,1854.011111,0,794.8222222,0,0,0,0
0,0,0,0,0.425,472.9194444,950.875,0,0,0,0,0,0,328.4194444,1824.994444,1284.366667,1642.25,1854.011111,0,794.8222222,0,0,0,0,0
0,0,0,0.425,472.9194444,950.875,0,0,0,0,0,0,328.4194444,1824.994444,1284.366667,1642.25,1854.011111,0,794.8222222,0,0,0,0,0,0
0,0,0.425,472.9194444,950.875,0,0,0,0,0,0,328.4194444,1824.994444,1284.366667,1642.25,1854.011111,0,794.8222222,0,0,0,0,0,0,0
0,0.425,472.9194444,950.875,0,0,0,0,0,0,328.4194444,1824.994444,1284.366667,1642.25,1854.011111,0,794.8222222,0,0,0,0,0,0,0,0
0.425,472.9194444,950.875,0,0,0,0,0,0,328.4194444,1824.994444,1284.366667,1642.25,1854.011111,0,794.8222222,0,0,0,0,0,0,0,0,0
472.9194444,950.875,0,0,0,0,0,0,328.4194444,1824.994444,1284.366667,1642.25,1854.011111,0,794.8222222,0,0,0,0,0,0,0,0,0,558.4361111
950.875,0,0,0,0,0,0,328.4194444,1824.994444,1284.366667,1642.25,1854.011111,0,794.8222222,0,0,0,0,0,0,0,0,0,558.4361111,1793.433333
0,0,0,0,0,0,328.4194444,1824.994444,1284.366667,1642.25,1854.011111,0,794.8222222,0,0,0,0,0,0,0,0,0,558.4361111,1793.433333,1333.213889
0,0,0,0,0,328.4194444,1824.994444,1284.366667,1642.25,1854.011111,0,794.8222222,0,0,0,0,0,0,0,0,0,558.4361111,1793.433333,1333.213889,0
0,0,0,0,328.4194444,1824.994444,1284.366667,1642.25,1854.011111,0,794.8222222,0,0,0,0,0,0,0,0,0,558.4361111,1793.433333,1333.213889,0,0
