,PV output,PeriodStart,hours
0,0.0,2018/10/28,00
23,0.0,2018/10/28,23
22,0.0,2018/10/28,22
21,0.0,2018/10/28,21
20,0.0,2018/10/28,20
19,0.0,2018/10/28,19
18,0.0,2018/10/28,18
16,0.0,2018/10/28,16
15,567.4138889,2018/10/28,15
14,1729.738889,2018/10/28,14
13,3404.872222,2018/10/28,13
12,2901.155989,2018/10/28,12
17,0.0,2018/10/28,17
10,369.10555560000006,2018/10/28,10
9,0.0,2018/10/28,09
8,0.0,2018/10/28,08
7,0.0,2018/10/28,07
6,0.0,2018/10/28,06
5,0.0,2018/10/28,05
4,0.0,2018/10/28,04
3,0.0,2018/10/28,03
2,0.0,2018/10/28,02
1,0.0,2018/10/28,01
11,2570.575,2018/10/28,11
38,851.3333332999998,2018/10/29,14
39,16.70555556,2018/10/29,15
40,0.0,2018/10/29,16
41,0.0,2018/10/29,17
42,0.0,2018/10/29,18
47,0.0,2018/10/29,23
44,0.0,2018/10/29,20
45,0.0,2018/10/29,21
46,0.0,2018/10/29,22
37,1784.2,2018/10/29,13
43,0.0,2018/10/29,19
36,2926.988889,2018/10/29,12
29,0.0,2018/10/29,05
34,900.3833332999999,2018/10/29,10
35,2824.1083329999997,2018/10/29,11
25,0.0,2018/10/29,01
26,0.0,2018/10/29,02
27,0.0,2018/10/29,03
28,0.0,2018/10/29,04
24,0.0,2018/10/29,00
30,0.0,2018/10/29,06
31,0.425,2018/10/29,07
32,472.91944440000003,2018/10/29,08
33,950.875,2018/10/29,09
71,0.0,2018/10/30,23
70,0.0,2018/10/30,22
69,0.0,2018/10/30,21
68,0.0,2018/10/30,20
67,0.0,2018/10/30,19
66,0.0,2018/10/30,18
64,328.4194444,2018/10/30,16
63,1824.9944440000002,2018/10/30,15
62,1284.366667,2018/10/30,14
61,1642.25,2018/10/30,13
60,1854.011111,2018/10/30,12
65,0.0,2018/10/30,17
58,794.8222222,2018/10/30,10
49,0.0,2018/10/30,01
50,0.0,2018/10/30,02
51,0.0,2018/10/30,03
52,0.0,2018/10/30,04
53,0.0,2018/10/30,05
48,0.0,2018/10/30,00
54,0.0,2018/10/30,06
55,0.0,2018/10/30,07
56,0.0,2018/10/30,08
57,558.4361111000001,2018/10/30,09
59,1793.4333329999997,2018/10/30,11
85,1333.213889,2018/10/31,13
94,0.0,2018/10/31,22
93,0.0,2018/10/31,21
92,0.0,2018/10/31,20
91,0.0,2018/10/31,19
90,0.0,2018/10/31,18
89,0.0,2018/10/31,17
88,550.2583333,2018/10/31,16
87,646.9916667,2018/10/31,15
86,567.4111111000001,2018/10/31,14
84,1951.4166670000002,2018/10/31,12
95,0.0,2018/10/31,23
82,1500.488889,2018/10/31,10
72,0.0,2018/10/31,00
73,0.0,2018/10/31,01
74,0.0,2018/10/31,02
75,0.0,2018/10/31,03
76,0.0,2018/10/31,04
83,1924.463889,2018/10/31,11
78,0.0,2018/10/31,06
79,0.0,2018/10/31,07
80,162.725,2018/10/31,08
81,1329.194444,2018/10/31,09
77,0.0,2018/10/31,05
109,3557.033333,2018/11/01,13
110,2848.9833329999997,2018/11/01,14
111,1294.0805560000001,2018/11/01,15
112,19.42222222,2018/11/01,16
113,0.0,2018/11/01,17
115,0.0,2018/11/01,19
116,0.0,2018/11/01,20
117,0.0,2018/11/01,21
118,0.0,2018/11/01,22
108,3816.338889,2018/11/01,12
114,0.0,2018/11/01,18
119,0.0,2018/11/01,23
107,3789.961111,2018/11/01,11
105,1224.0777779999999,2018/11/01,09
104,17.77777778,2018/11/01,08
103,0.0,2018/11/01,07
102,0.0,2018/11/01,06
101,0.0,2018/11/01,05
100,0.0,2018/11/01,04
99,0.0,2018/11/01,03
98,0.0,2018/11/01,02
97,0.0,2018/11/01,01
96,0.0,2018/11/01,00
106,3189.275,2018/11/01,10
134,830.3509749,2018/11/02,14
135,60.45555556,2018/11/02,15
136,0.472222222,2018/11/02,16
138,0.0,2018/11/02,18
133,2001.733333,2018/11/02,13
140,0.0,2018/11/02,20
141,0.0,2018/11/02,21
142,0.0,2018/11/02,22
143,0.0,2018/11/02,23
139,0.0,2018/11/02,19
132,2090.963889,2018/11/02,12
137,0.0,2018/11/02,17
130,1242.597222,2018/11/02,10
120,0.0,2018/11/02,00
121,0.0,2018/11/02,01
122,0.0,2018/11/02,02
123,0.0,2018/11/02,03
124,0.0,2018/11/02,04
131,1059.002778,2018/11/02,11
126,0.0,2018/11/02,06
127,0.0,2018/11/02,07
128,0.0,2018/11/02,08
129,524.0111111,2018/11/02,09
125,0.0,2018/11/02,05
167,0.0,2018/11/03,23
166,0.0,2018/11/03,22
165,0.0,2018/11/03,21
164,0.0,2018/11/03,20
163,0.0,2018/11/03,19
162,0.0,2018/11/03,18
161,0.0,2018/11/03,17
160,0.0,2018/11/03,16
158,1628.630556,2018/11/03,14
157,2633.7666670000003,2018/11/03,13
156,2563.622222,2018/11/03,12
159,489.125,2018/11/03,15
154,1656.261111,2018/11/03,10
155,1869.061111,2018/11/03,11
145,0.0,2018/11/03,01
146,0.0,2018/11/03,02
144,0.0,2018/11/03,00
148,0.0,2018/11/03,04
147,0.0,2018/11/03,03
150,0.0,2018/11/03,06
151,0.0,2018/11/03,07
152,0.0,2018/11/03,08
153,1177.458333,2018/11/03,09
149,0.0,2018/11/03,05
182,1088.433333,2018/11/04,14
183,711.4194444,2018/11/04,15
184,0.0,2018/11/04,16
185,0.0,2018/11/04,17
186,0.0,2018/11/04,18
191,0.0,2018/11/04,23
188,0.0,2018/11/04,20
189,0.0,2018/11/04,21
190,0.0,2018/11/04,22
181,1838.7555559999998,2018/11/04,13
187,0.0,2018/11/04,19
180,1054.488889,2018/11/04,12
171,0.0,2018/11/04,03
178,205.375,2018/11/04,10
177,327.09722220000003,2018/11/04,09
176,0.0,2018/11/04,08
175,0.0,2018/11/04,07
174,0.0,2018/11/04,06
173,0.0,2018/11/04,05
172,0.0,2018/11/04,04
170,0.0,2018/11/04,02
169,0.0,2018/11/04,01
168,0.0,2018/11/04,00
179,1160.622222,2018/11/04,11
205,1748.9666670000001,2018/11/05,13
206,1986.4138890000002,2018/11/05,14
207,1351.447222,2018/11/05,15
208,173.8138889,2018/11/05,16
209,0.0,2018/11/05,17
214,0.0,2018/11/05,22
211,0.0,2018/11/05,19
212,0.0,2018/11/05,20
213,0.0,2018/11/05,21
204,2051.025,2018/11/05,12
210,0.0,2018/11/05,18
215,0.0,2018/11/05,23
203,1932.105556,2018/11/05,11
201,673.1277778,2018/11/05,09
192,0.0,2018/11/05,00
193,0.0,2018/11/05,01
194,0.0,2018/11/05,02
195,0.0,2018/11/05,03
202,1402.013889,2018/11/05,10
197,0.0,2018/11/05,05
198,0.0,2018/11/05,06
199,0.0,2018/11/05,07
200,3.0305555560000004,2018/11/05,08
196,0.0,2018/11/05,04
230,2349.658333,2018/11/06,14
239,0.0,2018/11/06,23
238,0.0,2018/11/06,22
237,0.0,2018/11/06,21
236,0.0,2018/11/06,20
235,0.0,2018/11/06,19
234,0.0,2018/11/06,18
233,0.0,2018/11/06,17
232,0.0,2018/11/06,16
