Age,Education_Level,Time_of_service,Time_since_promotion,growth_rate,Travel_Rate,Post_Level,Pay_Scale,Work_Life_balance,VAR1,VAR2,VAR3,VAR4,VAR5,VAR6,VAR7,Attrition_rate,Gender_F,Gender_M,Relationship_Status_Married,Relationship_Status_Single,Unit_Accounting and Finance,Unit_Human Resource Management,Unit_IT,Unit_Logistics,Unit_Marketing,Unit_Operarions,Unit_Production,Unit_Purchasing,Unit_Quality,Unit_R&D,Unit_Sales,Unit_Security,Decision_skill_possess_Analytical,Decision_skill_possess_Behavioral,Decision_skill_possess_Conceptual,Decision_skill_possess_Directive,Compensation_and_Benefits_type0,Compensation_and_Benefits_type1,Compensation_and_Benefits_type2,Compensation_and_Benefits_type3,Compensation_and_Benefits_type4
42.0,4.0,4.0,4.0,33.0,1.0,1.0,7.0,3.0,4.0,0.7516,1.8688,2.0,4.0,5.0,3.0,0.1841,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
24.0,3.0,5.0,4.0,36.0,0.0,3.0,6.0,4.0,3.0,-0.9612,-0.4537,2.0,3.0,5.0,3.0,0.067,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
58.0,3.0,27.0,3.0,51.0,0.0,2.0,8.0,1.0,4.0,-0.9612,-0.4537,3.0,3.0,8.0,3.0,0.0851,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
26.0,3.0,4.0,3.0,56.0,1.0,3.0,8.0,1.0,3.0,-1.8176,-0.4537,1.8959722507748127,3.0,7.0,3.0,0.0668,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
31.0,1.0,5.0,4.0,62.0,1.0,3.0,2.0,3.0,1.0,0.7516,-0.4537,2.0,2.0,8.0,2.0,0.1827,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
54.0,3.0,19.0,1.0,21.0,2.0,5.0,9.0,1.0,3.0,-1.8176,1.8688,2.0,2.0,8.0,3.0,0.7613,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
21.0,4.0,2.0,1.0,50.0,1.0,1.0,6.0,2.0,3.0,-0.9612,0.7075,2.0,3.0,7.0,3.0,0.2819,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
64.86443661074813,3.0,34.0,4.0,23.0,1.0,4.0,6.0,2.0,3.0,-0.1048,-0.4537,2.0,3.0,9.0,3.0,0.1169,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
40.0,4.0,13.0,1.0,49.0,0.0,1.0,9.0,4.0,1.0,-0.006894158104474659,1.8688,2.0,5.0,6.0,3.0,0.1968,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
45.0,3.0,21.0,4.0,34.0,0.0,2.0,5.0,4.0,3.0,0.7516,-0.4537,2.0,4.0,8.0,3.0,0.287,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
65.0,5.0,31.0,3.0,49.0,1.0,1.0,6.0,3.0,3.0,0.7516,-0.4537,3.0,4.0,6.0,3.0,0.2735,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
19.0,5.0,0.0,0.0,25.0,1.0,2.0,5.0,1.0,3.0,-1.8176,-0.4537,2.0,3.0,6.0,3.0,0.08,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
