,PV output,PeriodStart
0,0.0,"2018-10-28T00,00,00Z"
1,0.0,"2018-10-28T01,00,00Z"
2,0.0,"2018-10-28T02,00,00Z"
3,0.0,"2018-10-28T03,00,00Z"
4,0.0,"2018-10-28T04,00,00Z"
5,0.0,"2018-10-28T05,00,00Z"
6,0.0,"2018-10-28T06,00,00Z"
7,0.0,"2018-10-28T07,00,00Z"
8,0.0,"2018-10-28T08,00,00Z"
9,0.0,"2018-10-28T09,00,00Z"
10,369.10555560000006,"2018-10-28T10,00,00Z"
11,2570.575,"2018-10-28T11,00,00Z"
12,2901.155989,"2018-10-28T12,00,00Z"
13,3404.872222,"2018-10-28T13,00,00Z"
14,1729.738889,"2018-10-28T14,00,00Z"
15,567.4138889,"2018-10-28T15,00,00Z"
16,0.0,"2018-10-28T16,00,00Z"
17,0.0,"2018-10-28T17,00,00Z"
18,0.0,"2018-10-28T18,00,00Z"
19,0.0,"2018-10-28T19,00,00Z"
20,0.0,"2018-10-28T20,00,00Z"
21,0.0,"2018-10-28T21,00,00Z"
22,0.0,"2018-10-28T22,00,00Z"
23,0.0,"2018-10-28T23,00,00Z"
24,0.0,"2018-10-29T00,00,00Z"
25,0.0,"2018-10-29T01,00,00Z"
26,0.0,"2018-10-29T02,00,00Z"
27,0.0,"2018-10-29T03,00,00Z"
28,0.0,"2018-10-29T04,00,00Z"
29,0.0,"2018-10-29T05,00,00Z"
30,0.0,"2018-10-29T06,00,00Z"
31,0.425,"2018-10-29T07,00,00Z"
32,472.91944440000003,"2018-10-29T08,00,00Z"
33,950.875,"2018-10-29T09,00,00Z"
34,900.3833332999999,"2018-10-29T10,00,00Z"
35,2824.1083329999997,"2018-10-29T11,00,00Z"
36,2926.988889,"2018-10-29T12,00,00Z"
37,1784.2,"2018-10-29T13,00,00Z"
38,851.3333332999998,"2018-10-29T14,00,00Z"
39,16.70555556,"2018-10-29T15,00,00Z"
40,0.0,"2018-10-29T16,00,00Z"
41,0.0,"2018-10-29T17,00,00Z"
42,0.0,"2018-10-29T18,00,00Z"
43,0.0,"2018-10-29T19,00,00Z"
44,0.0,"2018-10-29T20,00,00Z"
45,0.0,"2018-10-29T21,00,00Z"
46,0.0,"2018-10-29T22,00,00Z"
47,0.0,"2018-10-29T23,00,00Z"
48,0.0,"2018-10-30T00,00,00Z"
49,0.0,"2018-10-30T01,00,00Z"
50,0.0,"2018-10-30T02,00,00Z"
51,0.0,"2018-10-30T03,00,00Z"
52,0.0,"2018-10-30T04,00,00Z"
53,0.0,"2018-10-30T05,00,00Z"
54,0.0,"2018-10-30T06,00,00Z"
55,0.0,"2018-10-30T07,00,00Z"
